,Total Rows,Missing Count,Missing Percentage
away_pitching_savepct,3034,47,1.5491100856954514
away_pitching_opponentops,3034,47,1.5491100856954514
away_pitching_opponentonbasepct,3034,47,1.5491100856954514
away_pitching_opponentslugavg,3034,47,1.5491100856954514
away_pitching_opponentavg,3034,47,1.5491100856954514
away_pitching_runsupportavg,3034,47,1.5491100856954514
away_pitching_pitchesperplateappearance,3034,47,1.5491100856954514
away_pitching_pitchesperinning,3034,47,1.5491100856954514
away_pitching_pitchesperstart,3034,47,1.5491100856954514
away_fielding_ballsinzone,3034,47,1.5491100856954514
away_fielding_tripleplays,3034,47,1.5491100856954514
away_fielding_outsonfield,3034,47,1.5491100856954514
away_fielding_putouts,3034,47,1.5491100856954514
away_fielding_pickoffs,3034,47,1.5491100856954514
away_fielding_outfieldassists,3034,47,1.5491100856954514
away_fielding_assists,3034,47,1.5491100856954514
away_fielding_passedballs,3034,47,1.5491100856954514
away_fielding_errors,3034,47,1.5491100856954514
away_fielding_opportunities,3034,47,1.5491100856954514
away_fielding_doubleplays,3034,47,1.5491100856954514
away_fielding_teamgamesplayed,3034,47,1.5491100856954514
away_fielding_gamesplayed,3034,47,1.5491100856954514
away_pitching_warbr,3034,47,1.5491100856954514
away_pitching_strikepitchratio,3034,47,1.5491100856954514
away_pitching_strikes,3034,47,1.5491100856954514
away_fielding_partinningsplayed,3034,47,1.5491100856954514
away_fielding_fullinningsplayed,3034,47,1.5491100856954514
away_fielding_totalchances,3034,47,1.5491100856954514
away_fielding_successfulchances,3034,47,1.5491100856954514
away_fielding_isqualifiedpitcher,3034,47,1.5491100856954514
away_fielding_isqualifiedcatcher,3034,47,1.5491100856954514
away_fielding_isqualified,3034,47,1.5491100856954514
away_fielding_catcherearnedruns,3034,47,1.5491100856954514
away_fielding_catcherstolenbasesallowed,3034,47,1.5491100856954514
away_fielding_catchercaughtstealing,3034,47,1.5491100856954514
away_fielding_catcherthirdinningsplayed,3034,47,1.5491100856954514
away_fielding_gamesstarted,3034,47,1.5491100856954514
away_fielding_totalbases,3034,47,1.5491100856954514
away_fielding_hits,3034,47,1.5491100856954514
away_fielding_outsmade,3034,47,1.5491100856954514
away_fielding_extrabases,3034,47,1.5491100856954514
home_batting_walks,3034,47,1.5491100856954514
home_batting_stolenbases,3034,47,1.5491100856954514
home_batting_hits,3034,47,1.5491100856954514
home_batting_sachits,3034,47,1.5491100856954514
home_batting_rbis,3034,47,1.5491100856954514
home_batting_strikeouts,3034,47,1.5491100856954514
home_batting_groundballs,3034,47,1.5491100856954514
home_batting_hitbypitch,3034,47,1.5491100856954514
home_batting_teamgamesplayed,3034,47,1.5491100856954514
home_batting_gamesplayed,3034,47,1.5491100856954514
away_fielding_defwarbr,3034,47,1.5491100856954514
away_fielding_catcherera,3034,47,1.5491100856954514
away_fielding_catchercaughtstealingpct,3034,47,1.5491100856954514
away_fielding_zonerating,3034,47,1.5491100856954514
away_fielding_rangefactor,3034,47,1.5491100856954514
away_fielding_fieldingpct,3034,47,1.5491100856954514
home_batting_gamesstarted,3034,47,1.5491100856954514
