gamePk,away_runs,away_hits,away_errors,away_lob,home_runs,home_hits,home_errors,home_lob
632229,0,0,0,0,0,1,0,1
632210,0,2,0,2,1,1,0,2
632199,0,0,0,0,0,1,0,1
634510,4,3,0,0,4,4,0,0
632212,0,0,0,0,2,2,0,1
634513,1,1,0,0,0,1,0,2
634541,0,0,0,0,0,1,0,2
634553,0,0,0,0,2,3,0,1
634495,0,1,1,1,0,2,0,3
634574,0,1,0,2,0,1,0,1
632223,0,1,0,0,1,3,0,2
634582,0,1,0,1,0,0,0,0
634523,0,0,0,0,0,1,0,1
634521,0,1,0,1,0,0,0,0
634496,0,1,0,1,0,0,0,0
634528,0,0,0,0,2,3,0,2
634581,0,0,0,0,0,0,0,0
634516,0,0,0,0,6,7,0,2
634614,0,0,0,0,2,2,0,1
634472,0,0,0,1,0,0,0,1
634579,0,0,0,1,0,0,0,0
634621,4,5,0,1,0,0,0,0
634571,0,0,0,0,2,3,0,2
634472,0,0,0,1,0,0,0,1
634554,0,1,0,1,0,1,0,1
634501,0,0,0,0,1,3,0,1
634481,3,3,1,3,4,4,0,0
634522,0,1,0,0,0,0,0,0
634475,0,0,0,0,1,2,0,0
634632,0,1,0,1,0,0,0,0
634547,1,1,0,0,0,2,0,1
634515,0,0,0,0,0,0,0,0
634548,0,0,0,1,0,1,0,2
634469,0,1,0,1,0,0,0,0
634474,0,1,0,0,0,0,0,0
634464,2,2,0,2,0,0,0,0
634482,0,0,0,0,0,0,0,0
634519,0,0,0,0,0,0,0,0
634463,0,0,0,0,0,0,0,0
634483,0,0,0,0,0,0,0,0
634526,0,1,0,0,0,0,0,0
634525,0,0,0,1,0,0,0,0
634531,0,0,0,0,0,1,0,0
634517,0,0,0,0,0,0,0,0
634518,1,3,0,2,0,0,0,0
634520,0,0,0,0,0,2,0,2
634561,0,0,0,0,3,4,0,1
634507,0,0,1,1,0,1,1,2
634500,0,0,1,0,0,1,0,3
634477,2,3,0,1,0,0,0,0
634520,0,0,0,0,0,2,0,2
634462,0,1,0,1,1,2,0,1
634470,0,0,0,2,1,2,0,3
634471,2,1,0,1,0,1,0,0
634479,0,1,0,1,1,2,0,1
634460,0,0,0,0,0,1,0,2
634485,0,1,0,2,0,0,1,0
634561,0,0,0,0,3,4,0,1
634450,0,0,0,0,1,2,0,3
634543,0,0,0,0,0,0,0,0
634473,0,1,1,1,5,6,0,1
634449,0,0,0,0,0,0,0,0
634447,0,1,0,1,0,0,0,0
634465,0,2,0,1,1,1,0,1
634493,1,2,0,1,0,1,0,1
634498,0,0,0,0,1,1,0,0
634458,0,0,0,0,0,0,0,0
634487,1,1,0,0,0,1,0,1
634532,1,1,0,0,0,0,0,0
634518,1,3,0,2,0,0,0,0
634425,0,1,0,1,0,2,0,1
634442,0,0,0,0,0,1,0,3
634455,0,0,0,1,2,3,0,1
634511,0,1,0,1,0,1,0,1
634468,0,0,0,0,0,1,0,0
634480,0,2,0,3,0,0,0,0
634488,0,0,0,0,0,0,0,0
634538,0,0,0,0,1,1,0,2
634506,6,4,1,0,2,4,0,2
634441,4,2,0,0,1,1,0,0
634445,1,2,1,1,6,7,0,2
634431,0,0,0,0,0,0,0,0
634457,0,1,0,1,0,1,0,2
634396,0,0,0,0,0,1,0,1
634536,0,0,0,0,0,1,0,0
634421,0,0,0,1,2,2,0,0
634399,0,0,0,0,1,1,0,1
634466,0,1,0,0,0,0,0,0
634417,0,0,0,0,0,0,0,1
634397,0,0,0,0,0,0,0,2
634490,0,1,1,2,0,0,0,1
634466,0,1,0,0,0,0,0,0
634422,0,1,0,1,0,0,0,0
634408,3,4,0,1,0,0,1,1
634427,3,3,0,3,1,2,0,1
634509,0,2,0,2,0,1,1,1
634439,0,1,0,0,0,2,0,2
634409,0,0,0,1,0,0,0,0
634411,0,0,0,0,0,0,0,1
634407,1,2,0,2,0,0,1,0
634406,0,0,0,0,0,0,0,0
634398,0,0,0,3,0,1,0,1
634392,0,0,0,0,0,0,0,0
634390,0,0,0,0,0,0,0,0
634428,0,0,0,0,0,1,0,1
634497,0,0,0,0,0,1,0,2
634390,0,0,0,0,0,0,0,0
634423,1,2,0,2,0,1,0,0
634424,0,0,0,0,2,2,0,0
634440,1,2,0,1,0,0,0,0
634405,0,1,0,3,0,0,0,0
634430,0,0,0,0,1,2,0,1
634476,0,1,0,1,0,0,0,0
634408,3,4,0,1,0,0,1,1
634504,0,0,0,0,0,0,0,0
634444,0,0,0,0,0,0,0,1
634459,1,1,0,1,0,1,0,0
634453,1,1,0,0,0,0,0,0
