pitches,player_id,player_name,game_date,game_pk,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,pitcher_run_exp,run_exp,bat_speed,swing_length,pa,bip,singles,doubles,triples,hrs,so,k_percent,bb,bb_percent,api_break_z_with_gravity,api_break_z_induced,api_break_x_arm,api_break_x_batter_in,hyper_speed,bbdist,hardhit_percent,barrels_per_bbe_percent,barrels_per_pa_percent,release_pos_z,release_pos_x,plate_x,plate_z,obp,barrels_total,batter_run_value_per_100,xobp,xslg,pitcher_run_value_per_100,xbadiff,xobpdiff,xslgdiff,wobadiff,swing_miss_percent,arm_angle
15,670102,"Francis, Bowden",2025-05-16,777906,95,15.8,0.0,0.0,0.0,0.0,0.0,0.074,0.081,0,3,70.6,8.0,2000.0,86.9,87.39,2,7,8,0.5,6.75,119,150,134,152,290,326,301,0.766,-0.766,63.5,6.7,3,1,0,0,0,0,2,66.7,0,0,2.29,0.81933,-0.02933,-0.04267,89.6,155,0.0,0.0,0.0,5.97,-2.02,-0.04,2.61,0.0,0,-5.106666667,0.081,0.093,5.106666667,-0.081,-0.081,-0.093,-0.074,28.6,
15,663568,"Kolek, Stephen",2025-05-16,777896,83,18.1,0.6,0.6,0.5,1.2,0.771,0.43,0.384,3,5,89.4,2.2,2238.0,90.6,90.41,0,9,6,-0.1999999999999886,6.41,115,146,122,149,296,327,298,-1.424,1.424,74.6,7.2,5,5,2,0,0,1,0,0.0,0,0,2.27067,0.55533,0.41,-0.24333,91.7,157,40.0,20.0,20.0,5.23,-2.8,-0.07,2.59,0.6,1,9.493333333,0.384,0.628,-9.493333333,0.216,0.2159999999999999,0.572,0.341,0.0,
14,676974,"Meyer, Max",2025-05-16,777903,82,17.1,0.0,0.0,0.0,0.0,0.0,0.055,0.061,0,3,78.3,2.0,,93.4,93.8,2,4,10,0.3999999999999915,6.4,118,149,126,152,302,322,304,0.766,-0.766,70.1,6.8,3,1,0,0,0,0,2,66.7,0,0,2.12214,0.48571,0.55,-0.02857,88.0,112,0.0,0.0,0.0,5.69,-1.35,-0.18,2.85,0.0,0,-5.471428571,0.061,0.068,5.471428571,-0.061,-0.061,-0.068,-0.055,50.0,
14,687223,"Palmquist, Carson",2025-05-16,777897,76,18.4,0.25,0.0,0.25,0.25,0.223,0.265,0.249,1,4,91.5,22.5,2137.0,87.9,89.84,0,8,6,1.8999999999999917,7.58,98,151,126,148,296,334,302,0.359,-0.359,75.8,7.7,4,4,1,0,0,0,0,0.0,0,0,1.99571,1.04214,0.63643,-0.47929,92.4,185,50.0,0.0,0.0,5.03,2.96,0.15,2.51,0.25,0,-2.564285714,0.249,0.374,2.564285714,0.001,0.001,-0.124,-0.042,0.0,
13,519242,"Sale, Chris",2025-05-16,777908,99,13.1,0.0,0.0,0.0,0.0,0.174,0.267,0.131,0,3,92.7,17.5,2354.0,89.4,89.89,2,5,8,0.5,6.62,113,150,116,150,279,321,311,0.405,-0.405,70.9,7.8,4,2,0,0,0,0,1,25.0,1,25,2.81615,0.11667,0.38154,0.76615,90.3,197,50.0,0.0,0.0,4.7,3.11,0.11,2.22,0.25,0,-3.115384615,0.348,0.159,3.115384615,-0.131,-0.0979999999999999,-0.159,-0.093,40.0,
12,688138,"Evans, Logan",2025-05-16,777896,89,13.5,0.25,0.0,0.25,0.25,0.223,0.228,0.239,1,4,95.2,21.0,2300.0,90.4,89.32,0,6,6,-1.1000000000000083,5.71,101,150,113,148,291,323,305,0.359,-0.359,70.8,6.9,4,4,1,0,0,0,0,0.0,0,0,2.32083,0.49417,0.48364,-0.00364,93.3,192,25.0,0.0,0.0,5.98,-2.18,-0.38,2.88,0.25,0,-2.991666667,0.239,0.28,2.991666667,0.011,0.011,-0.03,-0.005,0.0,
12,663903,"Singer, Brady",2025-05-16,777902,90,13.3,0.0,0.0,0.0,0.0,0.0,0.494,0.268,0,3,97.5,29.5,2376.0,90.0,90.96,2,5,7,1.0,6.93,126,148,126,153,291,325,296,0.767,-0.767,74.5,7.3,3,2,0,0,0,0,1,33.3,0,0,2.33417,0.505,0.49833,-0.49833,99.4,244,50.0,50.0,33.33333333333333,5.35,-1.52,0.23,2.55,0.0,1,-6.391666667,0.268,0.94,6.391666667,-0.268,-0.268,-0.94,-0.494,40.0,
11,676979,"Crochet, Garrett",2025-05-16,777908,103,10.7,0.0,0.0,,0.0,0.0,0.0,,0,3,,,2451.0,94.0,94.74,6,7,4,0.7000000000000028,6.73,118,150,114,144,281,326,308,0.765,-0.765,73.2,7.8,3,0,0,0,0,0,3,100.0,0,0,1.56364,1.04364,0.57,-0.57,88.0,166,,,0.0,6.06,2.64,0.24,2.64,0.0,0,-6.954545455,,,6.954545455,,,,0.0,85.7,
11,666142,"Ragans, Cole",2025-05-16,777901,83,13.3,0.0,0.0,0.0,0.0,0.0,0.081,0.086,0,3,76.5,27.7,2483.0,92.1,91.39,1,4,7,-0.6999999999999886,6.03,119,150,117,153,303,325,291,0.765,-0.765,69.8,6.8,3,3,0,0,0,0,0,0.0,0,0,1.67364,1.04455,1.133,0.211,88.0,148,0.0,0.0,0.0,6.31,1.49,-0.06,2.35,0.0,0,-6.954545455,0.086,0.1,6.954545455,-0.086,-0.086,-0.1,-0.081,25.0,
10,676664,"Sears, JP",2025-05-16,777891,93,10.8,0.0,0.0,0.0,0.0,0.0,0.034,0.03,0,3,92.5,25.3,2157.0,84.8,85.05,1,5,5,0.2000000000000028,6.35,115,154,111,147,295,321,294,0.766,-0.766,68.1,7.2,3,3,0,0,0,0,0,0.0,0,0,2.517,0.687,0.034,-0.306,91.0,129,33.33333333333333,0.0,0.0,5.03,1.29,0.08,2.09,0.0,0,-7.66,0.03,0.044,7.66,-0.03,-0.03,-0.044,-0.034,20.0,
9,624133,"Suárez, Ranger",2025-05-16,777905,98,9.2,0.0,0.0,0.0,0.0,0.0,0.13,0.123,0,3,97.9,2.5,1926.0,89.8,89.42,0,3,6,-0.3999999999999915,6.22,113,151,120,148,296,313,277,0.766,-0.766,72.1,8.0,3,2,0,0,0,0,1,33.3,0,0,2.44778,0.40444,1.09889,-1.09889,94.6,106,50.0,0.0,0.0,5.82,2.12,-0.07,2.07,0.0,0,-8.511111111,0.123,0.18,8.511111111,-0.123,-0.123,-0.18,-0.13,0.0,
9,657277,"Webb, Logan",2025-05-16,777891,107,8.4,0.0,0.0,0.0,0.0,0.0,0.121,0.132,0,3,93.8,-6.5,2022.0,91.7,92.16,1,5,4,0.5,6.83,111,153,126,149,305,321,287,0.766,-0.766,64.8,6.2,3,2,0,0,0,0,1,33.3,0,0,2.87556,-0.12889,0.97111,0.66667,91.6,8,50.0,0.0,0.0,5.17,-2.24,0.4,1.8,0.0,0,-8.511111111,0.132,0.149,8.511111111,-0.132,-0.132,-0.149,-0.121,20.0,
8,686799,"Kochanowicz, Jack",2025-05-16,777899,104,7.7,0.333,0.0,0.333,0.333,0.297,0.161,0.177,1,3,101.0,-19.3,2055.0,95.1,95.83,0,3,5,0.7000000000000028,6.59,109,146,128,150,302,315,307,0.219,-0.219,74.0,7.2,3,3,1,0,0,0,0,0.0,0,0,2.2425,0.26875,1.17875,-0.48375,101.0,5,100.0,0.0,0.0,5.73,-2.01,0.08,1.61,0.333,0,-2.7375,0.177,0.186,2.7375,0.156,0.156,0.147,0.136,0.0,
7,681343,"Smith, Shane",2025-05-16,777900,89,7.9,0.0,0.0,0.0,0.0,0.0,0.249,0.221,0,3,89.8,32.0,2308.0,95.0,95.17,0,3,4,0.2000000000000028,6.33,127,152,119,152,308,321,308,0.766,-0.766,74.6,7.1,3,3,0,0,0,0,0,0.0,0,0,1.53286,0.99571,0.36,-0.01429,94.5,291,33.33333333333333,33.33333333333333,33.33333333333333,5.78,-2.47,-0.11,2.52,0.0,1,-10.942857143,0.221,0.378,10.942857143,-0.221,-0.221,-0.378,-0.249,0.0,
