Date,Home Team,Home Pitcher,Home Lineup Confirmed,Home Lineup,Away Team,Away Pitcher,Away Lineup Confirmed,Away Lineup
2021-05-24,Toronto Blue Jays,Trent Thornton,True,"[665862, 500743, 672701, 542583, 647315, 596049, 571670, 594807, 605119, 542932, 572816, 506702, 642423, 669432, 643256, 542914, 643265]",Tampa Bay Rays,Ryan Yarbrough,True,"[457705, 546318, 516416, 656555, 664761, 543543, 595284, 591720, 621107, 459964, 445213, 502624, 665155]"
2021-05-24,Miami Marlins,Trevor Rogers,True,"[542340, 596019, 543510, 642086, 621512, 606299, 457727, 641561, 666137, 592273, 656849, 541600, 606930, 660546, 664850]",Philadelphia Phillies,Zach Eflin,True,"[606132, 596115, 453568, 543068, 602074, 641857, 658069, 641658, 553869, 596295, 608032]"
2021-05-24,Detroit Tigers,Spencer Turnbull,True,"[543760, 666182, 665489, 606192, 545341, 666971, 669289, 641505, 624512, 642133, 643376, 663423, 548389, 605447, 621593, 606303, 641835]",Cleveland Indians,Sam Hentges,True,"[668227, 640457, 664040, 622534, 596847, 670712, 670764, 621563, 572287, 621433, 642336, 595281, 642232, 543521, 657044, 605488, 552640]"
2021-05-24,New York Mets,David Peterson,True,"[592192, 640461, 657656, 621566, 476704, 656305, 669221, 572039, 643393, 462101, 664913, 593423, 592135, 500610]",Colorado Rockies,Austin Gomber,True,"[672284, 571745, 572122, 641786, 641487, 664034, 608422, 641924, 622268, 579328, 606160, 657024, 641871]"
2021-05-24,Minnesota Twins,Matt Shoemaker,True,"[543939, 456715, 621438, 598265, 541645, 669374, 642715, 444489, 649966, 605540, 596129, 502202, 622780, 623352]",Baltimore Orioles,John Means,True,"[595777, 502054, 630105, 665487, 543333, 571976, 543592, 673490, 605483, 572955, 657434, 622766, 622761, 613534]"
2021-05-24,Milwaukee Brewers,Brandon Woodruff,True,"[543257, 570731, 600869, 408234, 668731, 606992, 592348, 608577, 622682, 650489, 605513, 650530, 596057, 641729, 608335]",San Diego Padres,Blake Snell,True,"[514917, 642708, 608070, 592696, 623912, 647304, 656669, 680911, 641343, 425784, 656529, 650496, 621295, 543766, 661403]"
2021-05-24,Chicago White Sox,Lance Lynn,True,"[664247, 518626, 666135, 641598, 593934, 608701, 663616, 592743, 624503, 443558, 593871, 533167, 608652, 660896, 517008]",St. Louis Cardinals,Kwang Hyun Kim,True,"[656775, 520471, 641820, 623993, 663624, 621466, 596748, 642082, 592859, 607644, 656945, 491624, 669330]"
2021-05-24,Oakland Athletics,Frankie Montas,True,"[641313, 594809, 660162, 547989, 606213, 518735, 683734, 544725, 663611, 458681, 656629]",Seattle Mariners,Yusei Kikuchi,True,"[669242, 666185, 502671, 571448, 425877, 572761, 664056, 642211, 624641, 657041, 547942, 594965, 676831, 663765]"
2021-05-25,Pittsburgh Pirates,Cody Ponce,True,"[665862, 446321, 500743, 542583, 594807, 643265, 642423, 572816, 595751, 542932, 645261, 656371]",Chicago Cubs,Jake Arrieta,True,"[546318, 516416, 543543, 596451, 656555, 664761, 459964, 595284, 665155, 592826, 656322, 621237, 457705, 593576]"
2021-05-25,Miami Marlins,Sandy Alcantara,True,"[596847, 640457, 622534, 650490, 664040, 621563, 670764, 668227, 642336, 595281, 621433, 448179, 664126]",Philadelphia Phillies,Vince Velasquez,True,"[593160, 467793, 521692, 643217, 642721, 624585, 670032, 609275, 572191, 595956, 641745, 641394, 622092]"
2021-05-25,Washington Nationals,Max Scherzer,True,"[596146, 518626, 666135, 593934, 593871, 641598, 663616, 608701, 592743, 621244, 573204, 570663, 517008, 573124]",Cincinnati Reds,Tyler Mahle,True,"[656775, 520471, 641820, 623993, 621466, 596748, 663624, 642162, 592859, 600474, 665152, 592644, 669211]"
2021-05-25,New York Yankees,Corey Kluber,True,"[607208, 665742, 605137, 656941, 475582, 516770, 543281, 543228, 664057, 453286, 593833, 628450, 621348]",Toronto Blue Jays,Steven Matz,True,"[553993, 608385, 592206, 571980, 663886, 622088, 595981, 607237, 608371, 571466, 571657, 663697, 641816, 607468]"
2021-05-25,Detroit Tigers,Tarik Skubal,True,"[624428, 592325, 594694, 668804, 607732, 570256, 570481, 593144, 657061, 643269, 664074, 605280, 607572, 670280, 621028, 592741, 545121]",Cleveland Indians,Aaron Civale,True,"[592626, 592178, 595879, 519203, 664023, 663538, 624522, 605177, 621550, 572193, 518886, 623520, 664731, 453562, 519299]"
2021-05-25,New York Mets,Jacob deGrom,True,"[571771, 657077, 502110, 593428, 646240, 543877, 542454, 592669, 666915, 503556, 572070, 617228, 676477]",Colorado Rockies,Kyle Freeland,True,"[660670, 518692, 542303, 501303, 542255, 645277, 663586, 621020, 467055, 628338, 661388, 450203, 650828, 519293]"
2021-05-25,Tampa Bay Rays,Rich Hill,True,"[572228, 650402, 592450, 570482, 596142, 596059, 640449, 543309, 458731, 446372, 650633, 476595, 570666, 458677]",Kansas City Royals,Brad Keller,True,"[543760, 666182, 665489, 606192, 545341, 642133, 666971, 641505, 605412, 669289, 643376, 571927, 543022, 605447]"
2021-05-25,Boston Red Sox,Garrett Richards,True,"[543939, 596129, 669374, 592885, 541645, 553882, 456715, 543768, 642715, 458676, 669203, 642233, 649966]",Atlanta Braves,Charlie Morton,True,"[502054, 641941, 595777, 630105, 665487, 543333, 571976, 605170, 673490, 605397, 657612, 657434, 489334, 622761]"
2021-05-25,Minnesota Twins,José Berríos,True,"[542340, 596019, 592273, 543507, 621242, 543510, 642086, 621512, 606299, 457727, 594798, 612434, 664850, 666137]",Baltimore Orioles,Dean Kremer,True,"[606132, 596115, 453568, 543068, 641857, 663898, 641658, 624513, 607536, 656582, 592346, 641755, 658069, 596112]"
2021-05-25,Milwaukee Brewers,Corbin Burnes,True,"[543257, 605612, 600869, 408234, 608577, 570731, 668731, 650489, 668670, 606992, 669373, 608335, 641302, 502706]",San Diego Padres,Joe Musgrove,True,"[514917, 642708, 608070, 656669, 592696, 623912, 680911, 644374, 641343, 595978, 650644, 675916]"
2021-05-25,Houston Astros,Zack Greinke,True,"[514888, 663656, 608324, 493329, 670541, 621043, 676801, 664702, 455117, 425844, 501925, 660600, 592288, 668687]",Los Angeles Dodgers,Clayton Kershaw,True,"[605141, 457759, 571970, 669257, 621035, 405395, 656847, 666158, 607461, 605131, 477132, 523260, 641360]"
2021-05-25,Chicago White Sox,Lucas Giolito,True,"[592192, 664913, 657656, 621566, 476704, 669221, 640461, 643393, 462101, 608344, 572143, 594056, 489265, 642152]",St. Louis Cardinals,Jack Flaherty,True,"[672284, 571745, 641786, 572122, 664034, 641487, 493472, 608596, 608686, 622268, 669302, 623149, 608638, 664948, 606160]"
2021-05-25,Los Angeles Angels,Andrew Heaney,True,"[606466, 656464, 502210, 656976, 500871, 444482, 608348, 668942, 605113, 670370, 656686, 642736, 642092, 641796]",Texas Rangers,Hyeon-Jong Yang,True,"[573262, 457763, 543105, 474832, 592200, 446334, 543063, 456781, 643289, 621453, 592332, 643565, 606424, 573131, 501625, 572125]"
2021-05-25,Oakland Athletics,Cole Irvin,True,"[641313, 594809, 660162, 547989, 606213, 683734, 641470, 544725, 663611, 608337, 676051, 605359, 676979, 521230]",Seattle Mariners,Logan Gilbert,True,"[669242, 666185, 502671, 571448, 425877, 572761, 624641, 657041, 621559, 656427, 643778, 658551]"
2021-05-25,Arizona Diamondbacks,Corbin Martin,True,"[457708, 660271, 543685, 501571, 578428, 670351, 665120, 621493, 435559, 664058, 571760, 642083, 592222, 519326]",San Francisco Giants,Kevin Gausman,True,"[643396, 669256, 663993, 666969, 641432, 501981, 621311, 571788, 518586, 624431, 660365, 676969, 663770, 656685]"
2021-05-26,Minnesota Twins,Michael Pineda,True,"[457708, 660271, 543685, 665120, 501571, 670351, 621493, 460077, 664058, 656288, 518553, 453265, 594577, 628452]",Baltimore Orioles,Jorge López,True,"[641432, 669256, 663993, 518586, 666969, 608336, 501981, 643396, 571788, 641680, 641829, 624431, 641540, 605138, 570257]"
2021-05-26,Chicago White Sox,Carlos Rodón,True,"[624428, 592325, 668804, 607732, 570256, 643269, 594694, 608717, 592741, 657061, 605280, 621028, 640444, 621249, 570481]",St. Louis Cardinals,John Gant,True,"[592626, 592178, 595879, 664023, 575929, 542364, 623520, 519299, 592866, 667297, 621550, 595465, 605177, 518886]"
2021-05-26,Oakland Athletics,James Kaprielian,True,"[543257, 605612, 600869, 408234, 608577, 570731, 668731, 592348, 668670, 570632, 542585, 605242, 642397]",Seattle Mariners,Robert Dugger,True,"[514917, 656669, 608070, 592696, 623912, 647304, 680911, 641343, 425784, 663474, 615698]"
2021-05-26,Los Angeles Angels,Griffin Canning,True,"[596146, 593871, 443558, 666135, 593934, 663616, 553902, 608701, 592743, 501381, 608648, 573204, 570663]",Texas Rangers,Dane Dunning,True,"[656775, 520471, 641820, 623993, 621466, 596748, 663630, 592859, 642162, 642082, 605347, 542888, 656945]"
2021-05-26,Pittsburgh Pirates,Wil Crowe,True,"[592192, 621566, 657656, 664913, 656305, 572039, 643393, 462101, 605244, 621076, 433589, 518617]",Chicago Cubs,Trevor Williams,True,"[672284, 571745, 572122, 641786, 641487, 664034, 622268, 641924, 493472, 608422, 608596, 667498, 670090, 664948, 670990]"
2021-05-26,Miami Marlins,Nick Neidert,True,"[607208, 665742, 605137, 656941, 516770, 543281, 488671, 664057, 605452, 608723, 671277, 640448, 663432, 543339, 628450, 543272]",Philadelphia Phillies,Aaron Nola,True,"[553993, 608385, 592206, 571980, 663886, 623485, 592622, 593140, 571466, 571657, 663697, 656546, 542960, 672335, 673451, 641682, 621011, 607468]"
2021-05-26,Washington Nationals,Joe Ross,True,"[571771, 657077, 502110, 593428, 646240, 592669, 666915, 542454, 543877, 624414, 601713, 657031, 493603, 542882, 598264]",Cincinnati Reds,Jeff Hoffman,True,"[660670, 518692, 645277, 663586, 621020, 467055, 628338, 542255, 661388, 592767, 592426, 656794, 594795]"
2021-05-26,Detroit Tigers,José Ureña,True,"[642423, 446321, 554340, 542583, 572816, 594807, 595751, 656371, 542932, 672701, 663734, 669622, 669432, 542947, 542914, 500743]",Cleveland Indians,Triston McKenzie,True,"[457705, 516416, 543543, 656555, 546318, 665155, 595284, 596451, 605400, 641401, 656322, 459964]"
2021-05-26,Tampa Bay Rays,Tyler Glasnow,True,"[668227, 595281, 650490, 670764, 640457, 622534, 664040, 670712, 621563, 572287, 621433, 607192, 656420]",Kansas City Royals,Mike Minor,True,"[593160, 467793, 643217, 521692, 642721, 624585, 572191, 609275, 502481, 670032, 656811, 593643, 501985, 518813, 605130, 622251, 641394, 676604]"
2021-05-26,Boston Red Sox,Nick Pivetta,True,"[663611, 594809, 571740, 660162, 547989, 606213, 683734, 641470, 544725, 664901, 607074, 656629, 607481, 614179]",Atlanta Braves,Drew Smyly,True,"[669242, 666185, 502671, 571448, 624641, 668800, 657041, 621559, 642211, 607231, 650893, 606149, 621052]"
2021-05-26,Houston Astros,Luis Garcia,True,"[542340, 596019, 641856, 642086, 607229, 606930, 543510, 664850, 666137, 606299, 457727, 664192, 622098, 571901, 541600, 544727, 592273]",Los Angeles Dodgers,Trevor Bauer,True,"[641658, 596115, 606132, 641857, 543068, 663898, 602074, 656582, 553869, 622608, 658069, 641755, 642068, 622075, 453568]"
2021-05-26,Milwaukee Brewers,Eric Lauer,True,"[668942, 606466, 500871, 444482, 608348, 502210, 656976, 641796, 605113, 518876, 670370, 664199, 592233, 622065, 573009, 519390]",San Diego Padres,Chris Paddack,True,"[573262, 457763, 543105, 596103, 573131, 613564, 543063, 446334, 643565, 643289, 607374, 459429, 543101, 643511, 456501, 621453, 670056, 456781]"
2021-05-26,Arizona Diamondbacks,Merrill Kelly,True,"[514888, 649557, 608324, 663656, 493329, 621043, 622100, 664702, 455117, 677651, 548384, 592773, 650556]",San Francisco Giants,Johnny Cueto,True,"[605141, 571970, 457759, 669257, 666158, 621035, 607461, 405395, 660294, 641914, 545333, 518858, 642701]"
2021-05-27,New York Yankees,Domingo Germán,True,"[518934, 650402, 592450, 570482, 640449, 596142, 609280, 458731, 664314, 642180, 656756, 642528, 593974, 643338]",Toronto Blue Jays,Alek Manoah,True,"[543760, 666182, 665489, 606192, 545341, 666971, 669289, 642133, 605412, 641505, 643376, 624512, 592662, 595918]"
2021-05-27,New York Mets,Marcus Stroman,True,"[543939, 456715, 592885, 553882, 444489, 669374, 543768, 608718, 642715, 598265, 641778, 649966, 502202, 642207, 596129, 642547, 623352, 621002]",Colorado Rockies,Germán Márquez,True,"[502054, 622761, 595777, 630105, 665487, 543333, 571976, 605170, 673490, 663978, 657434, 657612, 572955, 613534, 592518, 453343]"
2021-05-27,New York Mets,Marcus Stroman,True,"[518934, 650402, 592450, 570482, 640449, 596142, 609280, 458731, 664314, 642180, 656756, 642528, 593974, 643338]",Colorado Rockies,Germán Márquez,True,"[543760, 666182, 665489, 606192, 545341, 666971, 669289, 642133, 605412, 641505, 643376, 624512, 592662, 595918]"
2021-05-27,New York Mets,Joey Lucchesi,True,"[542340, 596019, 641856, 642086, 607229, 606930, 543510, 664850, 666137, 606299, 457727, 664192, 622098, 571901, 541600, 544727, 592273]",Colorado Rockies,Antonio Senzatela,True,"[641658, 596115, 606132, 641857, 543068, 663898, 602074, 656582, 553869, 622608, 658069, 641755, 642068, 622075, 453568]"
2021-05-27,Miami Marlins,Pablo López,True,"[607208, 665742, 605137, 656941, 516770, 543281, 488671, 664057, 605452, 608723, 671277, 640448, 663432, 543339, 628450, 543272]",Philadelphia Phillies,Spencer Howard,True,"[553993, 608385, 592206, 571980, 663886, 623485, 592622, 593140, 571466, 571657, 663697, 656546, 542960, 672335, 673451, 641682, 621011, 607468]"
2021-05-27,Pittsburgh Pirates,Tyler Anderson,True,"[543257, 605612, 600869, 570731, 592348, 606992, 668731, 622682, 650489, 571510, 650530, 641729, 596057, 502706]",Chicago Cubs,Kyle Hendricks,True,"[514917, 680911, 608070, 623912, 592696, 644374, 647304, 595978, 605548, 669456, 543766, 675916]"
2021-05-27,Detroit Tigers,Matthew Boyd,True,"[642423, 542583, 672701, 500743, 554340, 572816, 643265, 594807, 650331, 506702, 656371, 542932, 641154, 571670, 595751]",Cleveland Indians,Shane Bieber,True,"[596451, 543543, 621237, 593576, 656555, 546318, 664761, 459964, 591720, 665561, 675921, 624133, 516416, 665155]"
2021-05-27,Milwaukee Brewers,Adrian Houser,True,"[668227, 664040, 596847, 640457, 621563, 670764, 572287, 595281, 621433, 663556, 608379, 543521]",San Diego Padres,Ryan Weathers,True,"[593160, 593643, 467793, 656811, 521692, 643217, 502481, 609275, 670032, 642721, 624585, 572191, 595956, 663903, 596001, 451584, 429722]"
2021-05-26,Washington Nationals,Joe Ross,True,"[624428, 592325, 668804, 570256, 570481, 593144, 643269, 605421, 621028, 542881, 545121, 607572, 670280, 605195, 594694]",Cincinnati Reds,Jeff Hoffman,True,"[575929, 592178, 595879, 664023, 623520, 542364, 621550, 592626, 595465, 572193, 519299, 543294, 605361]"
2021-05-27,Tampa Bay Rays,Shane McClanahan,True,"[542340, 596019, 543510, 641856, 621512, 592273, 621242, 606299, 457727, 573186, 666137]",Kansas City Royals,Brady Singer,True,"[606132, 641857, 596115, 453568, 658069, 663898, 641658, 624513, 608566]"
2021-05-27,New York Yankees,Domingo Germán,True,"[456715, 642715, 541645, 642207, 623352, 543768, 608718, 444489, 553882, 669374, 649966, 598265, 621002, 543939, 605288, 596129, 670950, 592885]",Toronto Blue Jays,Alek Manoah,True,"[502054, 595777, 630105, 665487, 543333, 657434, 489334, 592518, 641941, 622766, 605170, 673490, 677960, 622761, 622503, 572955, 571976]"
2021-05-27,New York Yankees,Jordan Montgomery,True,"[518934, 596059, 592450, 650402, 645801, 640449, 609280, 458731, 543309, 593334, 476595]",Toronto Blue Jays,Robbie Ray,True,"[543760, 666182, 665489, 606192, 545341, 642133, 666971, 641505, 605412, 669289, 624512, 666201, 605447]"
2021-05-27,Washington Nationals,Stephen Strasburg,True,"[605141, 457759, 621035, 571970, 405395, 666158, 605131, 641914, 518858, 595014, 445276, 656847, 456034, 681911, 523260, 624647, 607461]",Cincinnati Reds,Sonny Gray,True,"[596103, 621453, 606424, 573262, 456781, 543105, 643289, 457763, 446334, 543063, 592200, 613564, 622072, 641793, 643565]"
2021-05-27,Chicago White Sox,Dylan Cease,True,"[592192, 640461, 643393, 657656, 621566, 476704, 656305, 669221, 572039, 664913, 462101, 605135]",Baltimore Orioles,Bruce Zimmermann,True,"[457708, 660271, 543685, 665120, 501571, 670351, 621493, 460077, 664058, 663776, 642083, 592222, 448855]"
2021-05-27,Oakland Athletics,Chris Bassitt,True,"[663611, 518735, 660162, 547989, 606213, 683734, 544725, 571740, 664901, 656302, 605359, 607481, 641582]",Los Angeles Angels,Patrick Sandoval,True,"[656775, 641820, 642162, 623993, 596748, 520471, 621466, 592859, 642082, 663630, 669145, 622253, 656945, 491624, 642121, 663399]"
2021-05-27,Arizona Diamondbacks,Jon Duplantier,True,"[668942, 606466, 500871, 444482, 656976, 502210, 605113, 519390, 608348, 641541, 592761, 670370, 664199, 465657, 642736, 641796, 592233]",St. Louis Cardinals,Carlos Martinez,True,"[669242, 666185, 502671, 571448, 425877, 641933, 594965, 624641, 642211, 593372, 650893, 664854, 572761, 606149, 621052, 657041]"
2021-05-27,Los Angeles Dodgers,David Price,True,"[672284, 571745, 641786, 572122, 664034, 641487, 608596, 641924, 608686, 623167, 606160, 641871]",San Francisco Giants,Alex Wood,True,"[641432, 643396, 663993, 666969, 608336, 669256, 571788, 641829, 624431, 663465, 621368, 656685]"
2021-05-27,Seattle Mariners,Chris Flexen,True,"[607208, 665742, 605137, 656941, 516770, 671277, 543228, 664057, 544931, 593833, 628450, 641851]",Texas Rangers,Kolby Allard,True,"[553993, 608385, 571980, 663886, 673451, 571657, 621011, 543243, 608371, 607468]"
2021-05-28,Chicago Cubs,Adbert Alzolay,True,"[514917, 642708, 608070, 623912, 592696, 605548, 680911, 647304, 644374, 595978, 669212, 664208, 680704, 663986, 669459]",Cincinnati Reds,Vladimir Gutierrez,True,"[543760, 666182, 665489, 642133, 606192, 641505, 545341, 666971, 605412, 669289, 643376, 547943, 663423]"
2021-05-28,Cleveland Indians,Eli Morgan,True,"[605141, 571970, 457759, 669257, 666158, 621035, 670955, 605131, 445276, 641360, 607461, 405395, 660294, 621111, 656847, 669952, 595014, 641914]",Toronto Blue Jays,Hyun Jin Ryu,True,"[664774, 573262, 457763, 543105, 459429, 446334, 543063, 456781, 643289, 613564, 643511, 606424, 621453, 543101, 670056, 641793, 643565]"
2021-05-28,Boston Red Sox,Martín Pérez,True,"[672284, 571745, 572122, 641786, 664034, 641487, 608422, 641924, 608596, 622268, 656954, 664948, 608638, 641871, 657024]",Miami Marlins,Cody Poteet,True,"[643396, 669256, 663993, 666969, 608336, 501981, 641432, 518586, 571788, 624431, 641829, 543475, 667463]"
2021-05-28,Detroit Tigers,Casey Mize,True,"[543257, 605612, 600869, 408234, 570731, 668731, 608577, 606992, 592348, 668670, 622682, 663554, 608335, 542585, 605242, 642397, 650530]",New York Yankees,Gerrit Cole,True,"[518934, 519317, 592450, 570482, 650402, 596059, 640449, 543309, 596142, 458731, 609280, 642180, 543037, 593974, 643338, 547973, 458677]"
2021-05-28,Houston Astros,Framber Valdez,True,"[592192, 643393, 621566, 664913, 476704, 572039, 519048, 656305, 669221, 462101, 640455, 433589, 642152]",San Diego Padres,Dinelson Lamet,True,"[457708, 665120, 543685, 501571, 594838, 621493, 670351, 435559, 664058, 660271, 518553, 594577]"
2021-05-28,Minnesota Twins,Randy Dobnak,True,"[668942, 608348, 500871, 444482, 573009, 656976, 502210, 605113, 641796, 518516, 642092, 642736, 488748, 606466]",Kansas City Royals,Kris Bubic,True,"[669242, 666185, 502671, 571448, 425877, 641933, 624641, 657041, 670912, 663765, 572761, 664854, 594965]"
2021-05-28,Oakland Athletics,Sean Manaea,True,"[514888, 649557, 663656, 608324, 493329, 621043, 676801, 664702, 455117, 664285, 664299, 519151, 592773, 548384, 656232]",Los Angeles Angels,Shohei Ohtani,True,"[502054, 592518, 630105, 665487, 543333, 622761, 571976, 595777, 593590, 605170, 673490, 659275, 598286, 613534, 622503, 657612, 453343, 641941]"
2021-05-28,Arizona Diamondbacks,Madison Bumgarner,True,"[571771, 657077, 502110, 593428, 646240, 542454, 543877, 503556, 592669, 527048, 493603]",St. Louis Cardinals,Johan Oviedo,True,"[542932, 516782, 542583, 643265, 572816, 595751, 656371, 506702, 672701, 547001, 669622]"
2021-05-28,Los Angeles Dodgers,Walker Buehler,True,"[592626, 592178, 595879, 664023, 575929, 542364, 623520, 519299, 640470, 605177, 667297, 621550, 518886]",San Francisco Giants,Anthony DeSclafani,True,"[608385, 592206, 571980, 663886, 571466, 571657, 621011, 663697, 661269, 673451, 553993, 592390, 448281, 542960, 592622]"
2021-05-28,Seattle Mariners,Justus Sheffield,True,"[664247, 663616, 518626, 443558, 641598, 666135, 593934, 593871, 608701, 592743, 677976, 664054, 608652]",Texas Rangers,Jordan Lyles,True,"[593160, 467793, 643217, 521692, 609275, 642721, 624585, 641531, 572191, 663460, 676604, 622092, 641394]"
2021-05-29,Pittsburgh Pirates,Mitch Keller,True,"[542340, 606299, 543507, 596019, 643446, 624413, 642086, 546991, 543510, 607680, 641856, 592273, 595191, 612434, 656887, 641645]",Colorado Rockies,Jon Gray,True,"[660670, 518692, 645277, 501659, 519293, 663586, 621020, 661388, 628338, 666120, 621345, 467055, 542255]"
2021-05-29,Washington Nationals,Jon Lester,True,"[641313, 518735, 660162, 547989, 606213, 683734, 663611, 571740, 664901, 458681, 607481, 676051, 521230]",Milwaukee Brewers,Brett Anderson,True,"[656775, 520471, 623993, 621466, 642162, 596748, 592859, 663624, 642082, 663630, 607644, 642121]"
2021-06-21,New York Mets,Taijuan Walker,True,"[607208, 665742, 605137, 656941, 516770, 671277, 543281, 488671, 664057, 571578, 628450, 641851]",Atlanta Braves,Ian Anderson,True,"[543939, 642715, 592885, 541645, 456715, 444489, 669374, 543768, 649966, 642547]"
2021-05-29,Chicago White Sox,Dallas Keuchel,True,"[624428, 592325, 668804, 570256, 643269, 594694, 657061, 605421, 664141, 592741]",Baltimore Orioles,Matt Harvey,True,"[606132, 641658, 641857, 543068, 453568, 663898, 658069, 624513, 592351, 641755, 656582, 468504, 656458, 602074]"
2021-05-29,Pittsburgh Pirates,JT Brubaker,True,"[624428, 592325, 668804, 570256, 643269, 594694, 657061, 605421, 664141, 592741]",Colorado Rockies,Jon Gray,True,"[606132, 641658, 641857, 543068, 453568, 663898, 658069, 624513, 592351, 641755, 656582, 468504, 656458, 602074]"
2021-05-29,Pittsburgh Pirates,Mitch Keller,True,"[641313, 518735, 660162, 547989, 606213, 683734, 663611, 571740, 664901, 458681, 607481, 676051, 521230]",Colorado Rockies,Austin Gomber,True,"[656775, 520471, 623993, 621466, 642162, 596748, 592859, 663624, 642082, 663630, 607644, 642121]"
2021-05-29,Tampa Bay Rays,Ryan Yarbrough,True,"[607208, 665742, 605137, 656941, 516770, 671277, 543281, 488671, 664057, 571578, 628450, 641851]",Philadelphia Phillies,Zack Wheeler,True,"[543939, 642715, 592885, 541645, 456715, 444489, 669374, 543768, 649966, 642547]"
2021-05-29,Washington Nationals,Patrick Corbin,True,"[641313, 518735, 660162, 547989, 606213, 571875, 571740, 683734, 544725, 663611, 572971, 605359, 521230]",Milwaukee Brewers,Freddy Peralta,True,"[656775, 520471, 623993, 600474, 596748, 663624, 642162, 592859, 663527, 663630, 621466, 518774, 664042, 656945, 542888]"
2021-05-29,Washington Nationals,Jon Lester,True,"[592192, 643393, 621566, 664913, 656305, 519048, 572039, 640461, 462101, 605244, 476704, 593423, 592135, 500610, 489265]",Milwaukee Brewers,Brett Anderson,True,"[457708, 660271, 543685, 665120, 501571, 670351, 621493, 642221, 621532, 664058, 502171, 453265, 628452]"
2021-05-29,Minnesota Twins,J.A. Happ,True,"[668227, 664040, 650490, 670764, 640457, 596847, 622534, 621563, 670712, 642336, 595281, 642232, 657044, 605488, 650895, 656420]",Kansas City Royals,Ervin Santana,True,"[457705, 516416, 656555, 592663, 543543, 665155, 664761, 546318, 596451, 459964, 591720, 554430, 656322, 621237, 605151]"
2021-05-29,Chicago White Sox,Dallas Keuchel,True,"[624428, 621028, 668804, 607732, 643269, 592325, 570481, 664789, 656605, 607572, 670280]",Baltimore Orioles,Matt Harvey,True,"[606132, 641857, 543068, 453568, 663898, 658069, 602074, 553869, 596295, 571431, 571710, 596112, 641658]"
2021-05-29,Chicago White Sox,Lance Lynn,True,"[596146, 593934, 518626, 666135, 443558, 593871, 641598, 663616, 608701, 592743, 457918, 660896, 608648, 570663, 573124]",Baltimore Orioles,John Means,True,"[593160, 467793, 521692, 624585, 642721, 609275, 641531, 572191, 643217, 593643, 595956, 429722, 672578, 518813]"
2021-05-29,Chicago Cubs,Zach Davies,True,"[607208, 665742, 475582, 656941, 516770, 543281, 543228, 474568, 664057, 452657, 605137, 593833, 543339, 621348, 628450, 502179]",Cincinnati Reds,Luis Castillo,True,"[543939, 642715, 541645, 608718, 596129, 642207, 642233, 456715, 444489, 553882, 649966, 669374, 543768, 598265, 474463, 502202, 592885]"
2021-05-29,Oakland Athletics,Frankie Montas,True,"[592626, 592178, 595879, 664023, 575929, 596027, 542364, 623520, 621550, 519299, 605200, 571521, 624522, 605361, 572193, 623364, 664731]",Los Angeles Angels,Alex Cobb,True,"[553993, 608385, 592206, 571980, 595981, 663886, 621011, 663697, 622088, 641682, 593140, 592622, 622491, 607237, 571657, 607468]"
2021-05-29,Houston Astros,Jake Odorizzi,True,"[514917, 642708, 608070, 623912, 592696, 680911, 641343, 647304, 644374, 425784, 605548, 656529, 650496, 621295, 663986, 661403]",San Diego Padres,Yu Darvish,True,"[543760, 666182, 665489, 606192, 545341, 666971, 669289, 641505, 643376, 571927, 543022, 621593]"
2021-05-29,Boston Red Sox,Nathan Eovaldi,True,"[668942, 606466, 500871, 444482, 572233, 656976, 605113, 519390, 608348, 571676, 641796, 622065, 642736, 664199, 573009, 502210, 656464]",Miami Marlins,Trevor Rogers,True,"[669242, 666185, 502671, 571448, 425877, 641933, 624641, 642211, 657041, 425794, 650893, 606149, 602922, 643778, 621052]"
2021-05-29,Detroit Tigers,Spencer Turnbull,True,"[542340, 596019, 543510, 642086, 666137, 621512, 641856, 606299, 656887, 606930, 457727, 592836, 612434, 592273, 541600]",New York Yankees,Deivi García,True,"[660670, 518692, 467055, 645277, 663586, 621020, 501303, 458708, 607345, 661388, 628338, 666120, 656794, 622666, 650828, 664852, 542255]"
2021-05-29,Los Angeles Dodgers,Julio Urías,True,"[672284, 571745, 572122, 641786, 664034, 641487, 608422, 493472, 622268, 643290, 623354, 623149, 606160]",San Francisco Giants,Logan Webb,True,"[641432, 643396, 663993, 666969, 608336, 669256, 571788, 641829, 641680, 592314, 570257]"
2021-05-29,New York Mets,Taijuan Walker,True,"[571771, 657077, 502110, 593428, 646240, 592669, 666915, 608700, 624414, 543135, 657031, 493603, 650382, 617228, 598264]",Atlanta Braves,Ian Anderson,True,"[642423, 516782, 542583, 643265, 572816, 542932, 656371, 506702, 595751, 672701, 669432, 643256, 542947]"
2021-05-29,Arizona Diamondbacks,Seth Frankoff,True,"[666158, 571970, 670955, 605141, 457759, 641355, 669257, 405395, 607461, 621035, 656716, 681911, 605131, 628711, 641360, 669952, 660294]",St. Louis Cardinals,Adam Wainwright,True,"[596103, 621453, 457763, 573262, 446334, 527038, 664774, 456781, 643565, 543063, 643289, 657277, 431148, 543105, 501625, 605538]"
